代码,    名称,现价,涨幅,涨跌,4分钟涨速,主力净量,总手,换手,量比,自选时间,自选价格,自选收益,现手,开盘,昨收,最高,最低,市盈(动),市净率,委比%,振幅,总市值,实体涨幅
SH600545,卓郎智能,4.15,10.08%,0.38,0.00%,-1.34,178296040,9.97%,1.51,20251024,3.04,36.51%,511000↑,4,3.77,4.15,3.83,,2.32,100,8.49%,7419835700,3.75%
SH600979,广安爱众,5.44,3.03%,0.16,0.18%,0.41,115448040,9.37%,0.77,20250825,5.79,-6.04%,2010320↑,5.28,5.28,5.5,5.14,34.01,1.48,-39.59,6.82%,6863414000,3.03%
SH600884,杉杉股份,14.21,-0.42%,-0.06,0.00%,0.02,77706423,4.23%,0.66,20260206,14.37,-1.11%,737900↓,14.45,14.27,14.56,13.98,84.53,1.46,79.74,4.06%,31964157000,-1.66%
SH600132,重庆啤酒,57.49,2.57%,1.44,-0.02%,0.09,4946355,1.02%,1.14,20260224,54.16,6.15%,43200↑,56.06,56.05,57.59,55.7,22.6,20.17,-70.78,3.37%,27823504000,2.55%
SH600189,泉阳泉,8.4,1.82%,0.15,0.00%,-0.08,10054919,1.41%,0.8,20260213,8.17,2.82%,138600↑,8.23,8.25,8.44,8.19,182.6,4.86,-84.25,3.03%,6007661600,2.07%
SZ002025,航天电器,51.98,2.52%,1.28,0.19%,0.1,14010740,3.09%,0.76,20260212,51.82,0.31%,235500↑,50.57,50.7,52.6,50.3,121.6,3.64,-75.53,4.54%,23673043000,2.79%
SZ002511,中顺洁柔,8.79,1.97%,0.17,0.00%,0.01,19695500,1.56%,0.62,20260209,8.32,5.65%,138200↑,8.58,8.62,8.82,8.58,36.84,2.06,-48.22,2.78%,11307261000,2.45%
SH688510,航亚科技,40.21,2.45%,0.96,0.25%,0.1,10992954,4.24%,0.73,20251110,25.35,58.62%,53103↑,39,39.25,42.6,39,102.2,8.65,14.67,9.17%,10435404100,3.10%
SZ002734,利民股份,21.77,8.52%,1.71,0.18%,2.09,73625670,16.95%,1.27,20260121,18.38,18.44%,717267↑,19.91,20.06,22.07,19.91,19.92,2.7,17.21,10.77%,10359028600,9.34%
SZ002208,合肥城建,15.82,5.12%,0.77,0.00%,0.48,62758669,7.81%,1.78,20260116,14.14,11.88%,891400↑,15.2,15.05,16.19,15.11,,1.98,-51.01,7.18%,12708077800,4.08%
SZ300051,琏升科技,9.5,0.32%,0.03,0.21%,-0.13,10951500,2.98%,0.69,20260109,8.6,10.47%,118400↑,9.4,9.47,9.63,9.33,,21.92,32.94,3.17%,3534168100,1.06%
SZ300177,中海达,9.43,-0.21%,-0.02,0.00%,-0.17,8043993,1.33%,0.55,20250529,11.56,-18.43%,121400↓,9.37,9.45,9.5,9.36,,4.65,35.27,1.48%,7017514300,0.64%
SZ000060,中金岭南,7.55,-1.18%,-0.09,0.13%,-0.2,119371339,2.69%,0.45,20251205,5.55,36.04%,1316900↓,7.55,7.64,7.65,7.41,29.91,1.77,34.68,3.14%,33530852000,0.00%
SZ002982,湘佳股份,15.16,7.52%,1.06,-0.07%,2.7,22979613,17.69%,4.16,20260306,15.16,0.00%,227476↑,14.08,14.1,15.51,14.04,103.4,1.94,-33.94,10.43%,3080420500,7.67%
SH600850,电科数字,26.92,3.14%,0.82,-0.15%,-0.01,11992531,1.76%,0.96,20260306,27.03,-0.41%,90200↑,26.2,26.1,27.25,26.12,53.89,3.77,20.77,4.33%,18310950000,2.75%
SH601868,中国能建,2.89,9.89%,0.26,0.00%,1.41,2027314600,6.25%,2.81,20260306,2.63,9.89%,7289300↑,2.66,2.63,2.89,2.65,28.63,1.1,100,9.13%,120487463000,8.65%
SH601727,上海电气,9.36,-1.06%,-0.1,0.00%,-0.95,597084290,4.73%,2.29,20260305,9.46,-1.06%,7916500↓,9.37,9.46,9.48,9.25,102.4,2.69,20.45,2.43%,145455540000,-0.11%
SH603897,长城科技,34.39,0.17%,0.06,0.03%,-0.2,11669770,5.65%,0.59,20260305,34.74,-1.01%,326300↑,34.25,34.33,34.75,33.6,24.77,2.95,40.07,3.35%,7099323100,0.41%
SZ002246,北化股份,24.81,4.16%,0.99,0.04%,0.27,56656478,10.32%,0.92,20260304,24.11,2.90%,654700↑,23.83,23.82,25.38,23.43,54.23,4.54,38.52,8.19%,13621553000,4.11%
SZ000713,国投丰乐,7.21,3.15%,0.22,-0.14%,0.43,38503039,6.27%,1.04,20260304,7.34,-1.77%,407000↑,6.96,6.99,7.23,6.94,,1.93,-34.47,4.15%,5755162400,3.59%
SH601898,中煤能源,17.33,-1.14%,-0.2,0.06%,0,55415681,0.61%,0.59,20260304,17,1.94%,870200↓,17.06,17.53,17.6,16.75,13.8,1.46,23.63,4.85%,229772640000,1.58%
SH601225,陕西煤业,24.95,-0.95%,-0.24,0.12%,-0.04,41710089,0.43%,0.59,20260304,25.03,-0.32%,478900↓,25.05,25.19,25.16,24.5,14.27,2.56,-27.89,2.62%,241890250000,-0.40%
SH688525,佰维存储,209.33,9.31%,17.83,0.00%,0.43,55101645,11.80%,1.4,20260304,175.99,18.94%,300↓,190.6,191.5,209.62,190.6,112.8,17.92,18.7,9.93%,97784681000,9.83%
SH603757,大元泵业,43.08,-0.83%,-0.36,0.16%,-0.22,5791531,3.10%,0.52,20260304,43.8,-1.64%,55400↓,42.74,43.44,43.78,42.46,43.04,3.82,87.23,3.04%,8036455900,0.80%
SZ000905,厦门港务,12.72,1.27%,0.16,0.16%,-0.02,19873724,2.68%,0.41,20260304,13.69,-7.09%,268500↑,12.55,12.56,12.76,12.35,36.14,1.86,-4.04,3.26%,9435818100,1.35%
SZ002261,拓维信息,39.05,10.00%,3.55,0.00%,3.52,204167440,17.82%,1.02,20260303,37.51,4.11%,4047460↑,34.88,35.5,39.05,34.59,351.9,18.87,100,12.56%,49196419000,11.96%
SH600123,兰花科创,6.65,-0.60%,-0.04,0.00%,-0.2,43436420,2.95%,0.56,20260302,6.58,1.06%,371320↓,6.61,6.69,6.69,6.49,698.9,0.62,-43.66,2.99%,9797046100,0.61%
SZ002536,飞龙股份,36.47,-1.46%,-0.54,0.06%,-0.69,52332216,9.61%,0.73,20260302,33.97,7.36%,707629↓,36.12,37.01,37.86,36,54.83,6.06,25.69,5.03%,20962441000,0.97%
SZ002843,泰嘉股份,27.93,10.00%,2.54,0.00%,3.5,82358605,32.84%,1.52,20260227,25.27,10.53%,285855↑,24.96,25.39,27.93,24.63,91.08,4.97,100,13.00%,7031030100,11.90%
SH688356,键凯科技,103.37,1.13%,1.15,0.34%,0.04,1069509,1.76%,0.87,20260227,100.87,2.48%,15690↑,101.5,102.22,105.56,101.01,98.9,4.75,18.88,4.45%,6269462900,1.84%
SZ002015,协鑫能科,15.62,10.00%,1.42,0.00%,1.46,98558764,6.07%,0.66,20260227,14.16,10.31%,177400↑,14.62,14.2,15.62,14.5,24.95,2.06,100,7.89%,25356330000,6.84%
SH603606,东方电缆,60.75,-0.74%,-0.45,0.00%,-0.01,10496537,1.53%,0.8,20260227,59.2,2.62%,70400↓,60.59,61.2,62.12,60.45,34.28,5.45,35.79,2.73%,41778709000,0.26%
SZ300317,珈伟新能,5.71,-4.83%,-0.29,-0.35%,0.05,158861850,19.17%,0.69,20260227,5.36,6.53%,1500↓,5.8,6,5.9,5.49,,3.04,-18.92,6.83%,4740375800,-1.55%
SZ300911,亿田智能,43.12,-6.89%,-3.19,1.22%,0.13,12221928,7.13%,0.76,20260122,35.94,19.98%,100--,44.41,46.31,46.3,42.26,,6.74,-90.24,8.72%,7905435500,-2.90%
SH600507,方大特钢,7.11,0.42%,0.03,0.00%,0.01,28114907,1.22%,0.6,20260227,6.97,2.01%,254600↑,7.08,7.08,7.18,6.99,15.64,1.64,-27.01,2.68%,16446766000,0.42%
SH600251,冠农股份,11,1.38%,0.15,0.09%,-0.03,13563400,1.75%,0.8,20260226,11.24,-2.14%,166500↑,10.8,10.85,11.15,10.7,18.47,2.25,-66.62,4.15%,8546929400,1.85%
SH600540,新赛股份,5.34,3.89%,0.2,-0.37%,-0.49,49771010,8.56%,0.68,20260226,5.71,-6.48%,776000↑,5.09,5.14,5.39,5.08,,7.12,-14.2,6.03%,3104553000,4.91%
SH600999,招商证券,16.12,0.94%,0.15,0.12%,0.01,25764337,0.35%,0.54,20260226,16.6,-2.89%,511200↑,15.92,15.97,16.15,15.9,11.4,1.16,-8.49,1.57%,140188010000,1.26%
SH600744,华银电力,9.08,0.44%,0.04,0.11%,-2.47,451747680,22.24%,1.27,20250829,7.81,16.26%,5133210↑,9.04,9.04,9.47,8.58,38.78,12.96,52.57,9.85%,18442608000,0.44%
SZ300034,钢研高纳,22.4,3.66%,0.79,0.00%,0.39,48702367,6.35%,1.08,20251215,19.27,16.24%,322200↑,21.41,21.61,23.42,21.32,107.5,4.68,-10.83,9.72%,17851939000,4.62%
SZ300499,高澜股份,37.8,-2.22%,-0.86,0.24%,-0.93,50209282,18.50%,0.81,20250815,25.78,46.63%,400↓,38.5,38.66,39.71,37.7,252.8,8.34,79.98,5.20%,11538395700,-1.82%
SH603220,中贝通信,27.43,6.36%,1.64,0.04%,0.63,55913534,12.88%,1.37,20260226,27.43,0.00%,427500↑,27,25.79,28,26.5,129.7,3.79,-17.77,5.82%,14711976000,1.59%
SH601949,中国出版,6.49,1.25%,0.08,0.00%,-0.06,13613700,0.72%,0.59,20260226,7.25,-10.48%,153900--,6.38,6.41,6.53,6.38,38.91,1.28,-30.72,2.34%,12356752700,1.72%
SH601778,晶科科技,4.87,3.84%,0.18,0.41%,0.6,349839420,9.80%,1.46,20260226,4.68,4.06%,3897300--,4.69,4.69,4.99,4.62,36.67,1.1,-25.59,7.89%,17390773000,3.84%
SH605009,豪悦护理,29.72,2.06%,0.6,-0.03%,-0.01,1203140,0.56%,0.83,20250814,41.04,-27.58%,21560--,29.07,29.12,29.75,29.02,23.57,1.89,35.85,2.51%,6391760300,2.24%
SZ300812,易天股份,43.09,-7.93%,-3.71,-0.07%,-0.62,21738480,23.45%,0.87,20260213,41.76,3.18%,400--,45.61,46.8,45.99,42.5,130.5,7.7,75.83,7.46%,6035919200,-5.53%
SH600629,华建集团,22.42,5.95%,1.26,0.00%,0.56,57676030,6.05%,1.86,20250930,28.69,-21.85%,504700--,21,21.16,22.78,20.97,103.4,4.1,27.71,8.55%,21754993000,6.76%
